Stock,Stock,Transaction,Politician,Filed,Traded,Description
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Thomas Suozzi
House / D","Sep. 23, 2021","Mar. 10, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$1,001 - $15,000","Perdue, David
Senate / R","Mar. 03, 2020","Feb. 27, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$1,001 - $15,000","Perdue, David
Senate / R","Mar. 03, 2020","Feb. 25, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$15,001 - $50,000","Perdue, David
Senate / R","Mar. 03, 2020","Feb. 24, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock Option","Sale (Partial)
$1,001 - $15,000","Loeffler, Kelly
Senate / R","Mar. 12, 2020","Feb. 05, 2020",Option Type: Put Strike price: $52.50 Expires: 09/18/2020
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Donald Sternoff Beyer Jr
House / D","Feb. 22, 2020","Jan. 24, 2020",50 UNITS DELTA AIR LINES INC
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Donald Sternoff Beyer Jr
House / D","Feb. 22, 2020","Jan. 15, 2020",100 UNITS DELTA AIR LINES INC.
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Donald Sternoff Beyer Jr
House / D","Dec. 14, 2019","Nov. 26, 2019",55 UNITS OF DELTA AIR LINES
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Donald Sternoff Beyer Jr
House / D","Dec. 14, 2019","Nov. 19, 2019",45 UNITS OF DELTA AIR LINES
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Josh Gottheimer
House / D","May. 20, 2019","Apr. 01, 2019",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Sale (Full)
$50,001 - $100,000","Inhofe, James M.
Senate / R","Jan. 17, 2019","Jan. 16, 2019",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$1,001 - $15,000","Whitehouse, Sheldon
Senate / D","Jul. 13, 2018","Jun. 06, 2018",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Sale (Partial)
$1,001 - $15,000","Inhofe, James M.
Senate / R","May. 14, 2018","May. 03, 2018",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","John Rutherford
House / R","Aug. 20, 2018","Apr. 19, 2018",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Sale
$100,001 - $250,000","Bradley S. Schneider
House / D","Feb. 15, 2018","Jan. 08, 2018",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","John Rutherford
House / R","Aug. 20, 2018","Dec. 28, 2017",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","John Rutherford
House / R","Aug. 20, 2018","Dec. 28, 2017",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$100,001 - $250,000","Inhofe, James M.
Senate / R","Jan. 17, 2018","Dec. 26, 2017",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Purchase
$100,001 - $250,000","Bradley S. Schneider
House / D","Dec. 31, 2017","Dec. 12, 2017",-
DAL,"DAL
COMMENTS: THIS PURCHASE WAS MISTAKENLY NOT INCLUDED IN MY 12/21/17 PTR. DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","John A. Yarmuth
House / D","Aug. 01, 2018","Jun. 12, 2017",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Sale
$1,001 - $15,000","Alan S. Lowenthal
House / D","Jun. 24, 2016","Jun. 16, 2016",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Purchase
$1,001 - $15,000","Alan S. Lowenthal
House / D","May. 17, 2016","May. 10, 2016",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Purchase
$1,001 - $15,000","Alan S. Lowenthal
House / D","Apr. 30, 2016","Apr. 22, 2016",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Sale
$1,001 - $15,000","Mr. K. Michael Conaway
House / R","Sep. 02, 2014","Aug. 28, 2014",-
DAL,"DAL
Delta Air Lines Inc. (NYSE)
None","Sale (Full)
$1,001 - $15,000","Collins, Susan M.
Senate / R","Aug. 14, 2014","Jul. 23, 2014",-
DAL,"DAL
Delta Air Lines Inc. (NYSE)
None","Purchase
$1,001 - $15,000","Collins, Susan M.
Senate / R","Apr. 29, 2014","Apr. 11, 2014",-
DAL,"DAL
Delta Air Lines Inc. (NYSE)
None","Purchase
$1,001 - $15,000","Collins, Susan M.
Senate / R","Apr. 29, 2014","Apr. 10, 2014",-
DAL,"DAL
Delta Air Lines Inc. (NYSE)
None","Purchase
$1,001 - $15,000","Collins, Susan M.
Senate / R","Apr. 07, 2014","Mar. 31, 2014",-
DAL,"DAL
Delta Air Lines Inc. (NYSE)
None","Purchase
$1,001 - $15,000","Collins, Susan M.
Senate / R","Apr. 07, 2014","Mar. 28, 2014",-
DAL,"DAL
DELTA AIR LINES, INC.
None","Purchase
$1,001 - $15,000","Mr. K. Michael Conaway
House / R","Aug. 18, 2014","Jan. 14, 2014",-
JBLU,"JBLU
JETBLUE AIRWAYS CORPORATION
None","Sale
$15,001 - $50,000","E. Scott Rigell
House / R","Apr. 28, 2016","Mar. 22, 2016","SOLD 1,125 SHARES OF JBLU"
JBLU,"JBLU
JETBLUE AIRWAYS CORPORATION
None","Purchase
$15,001 - $50,000","E. Scott Rigell
House / R","Apr. 28, 2016","Mar. 08, 2016","BOUGHT 1,125 SHARES OF JBLU"
LUV,"LUV
SOUTHWEST AIRLINES COMPANY COMMON STOCK
ST","Purchase
$1,001 - $15,000","Gilbert Cisneros
House / D","Feb. 11, 2025","Jan. 24, 2025",-
LUV,"LUV
Southwest Airlines Company
Stock","Sale (Full)
$1,001 - $15,000","Sullivan, Dan
Senate / R","Sep. 18, 2023","Aug. 22, 2023",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Dwight Evans
House / D","Aug. 19, 2022","Aug. 05, 2022",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Daniel Crenshaw
House / R","Feb. 02, 2022","Jan. 20, 2022",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Kathy Manning
House / D","Feb. 11, 2022","Jan. 14, 2022",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$100,001 - $250,000","Patrick Fallon
House / R","Nov. 30, 2021","Nov. 19, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Oct. 05, 2021","Oct. 04, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Nov. 04, 2021","Oct. 04, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jul. 02, 2021","Jun. 29, 2021",-
LUV,"LUV
SOUTHWEST AIRLINES COMPANY
ST","Purchase
$100,001 - $250,000","Patrick Fallon
House / R","Jul. 02, 2021","Jun. 29, 2021",-
